amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha,beta,sharpe_ratio,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,cagr_1yr,cagr_3yr,cagr_5yr,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,Fund_Score
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,5.34,6.07,5.43,4.47,1.6,0.22,1.52,2.11,4.0,-2.3,24101,0.77,5,Low,5.339999999999989,1.9837216108744116,1.0631525193050217,38.0,5.0,13.0,9.0,2.0,58.0
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,14.02,18.08,17.55,17.19,0.89,1.0,0.95,1.45,19.0,-21.84,979,1.36,3,High,14.02000000000001,5.696055849894166,3.286729659948562,8.0,17.0,29.5,15.0,23.0,57.25
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Regular,6.18,5.14,7.95,3.96,1.18,0.43,5.14,8.76,0.5,-3.66,38995,0.79,5,Low,6.180000000000008,1.6847887907928794,1.5417232157824312,40.0,3.0,21.0,11.0,4.0,52.5
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,15.43,16.58,17.69,15.63,0.95,0.91,0.87,1.44,19.0,-13.67,23185,1.38,5,High,15.43000000000001,5.246585987661145,3.311320486592617,10.0,29.0,26.0,17.0,10.0,52.5
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,6.19,5.31,8.71,4.42,0.89,0.37,1.33,2.38,4.0,-2.23,30030,0.55,4,Low,6.190000000000007,1.7395637121703889,1.6842990351009002,39.0,6.0,29.5,1.0,1.0,51.625
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,14.12,14.41,13.02,13.53,0.88,1.03,1.03,1.27,14.0,-26.59,41553,0.8,3,Moderate,14.12,4.5894779365005745,2.4780990179699813,20.0,9.0,31.0,12.0,32.0,51.375
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Direct,14.42,12.33,14.72,10.63,1.7,1.02,0.88,1.48,14.0,-18.14,39475,0.72,3,Moderate,14.42000000000001,3.9517774464608024,2.784547354676503,27.0,26.5,10.5,5.5,19.0,51.125
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular,14.82,13.78,12.86,12.44,1.34,1.03,0.98,1.25,14.0,-15.07,23500,1.6,5,Moderate,14.820000000000011,4.397150091265889,2.4490673623251302,22.0,12.0,18.0,36.5,12.0,50.3125
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,10.94,14.84,11.32,14.06,0.78,0.97,1.06,1.7,14.0,-17.41,6434,1.55,5,Moderate,10.939999999999994,4.720344264916898,2.167940633058274,16.0,7.5,35.0,32.0,17.0,49.5625
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,15.84,14.0,14.7,13.14,0.86,0.88,1.0,1.68,14.0,-16.07,20909,1.51,4,Moderate,15.839999999999987,4.464392682231866,2.780963264167924,21.0,10.0,33.0,24.5,13.0,49.0625
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Regular,11.96,12.82,12.35,11.0,1.82,0.91,0.92,1.63,14.0,-21.7,41828,1.54,5,Moderate,11.959999999999994,4.102709183108333,2.356308680926622,25.0,21.0,6.0,30.5,21.5,48.3125
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Regular,21.97,20.98,22.62,20.47,0.51,1.0,0.84,1.4,25.0,-14.45,21545,1.38,4,Very High,21.97,6.554352266451557,4.162708069911392,4.0,32.0,40.0,17.0,11.0,47.875
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular,16.67,14.76,12.6,14.21,0.55,0.92,0.98,1.5,15.0,-21.89,2571,1.41,4,Moderately High,16.67000000000001,4.696021805729478,2.401820619185857,18.0,12.0,38.0,19.0,24.0,46.875
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Regular,14.91,14.56,15.68,12.86,1.7,0.99,0.91,1.55,16.0,-33.15,49046,1.52,5,Moderately High,14.91,4.635166164370164,2.9559987622861605,19.0,22.5,10.5,26.5,39.0,46.75
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,Regular,16.3,15.61,15.86,14.49,1.12,0.92,0.82,1.21,19.0,-13.43,41728,1.51,5,High,16.300000000000004,4.953872406813886,2.9880190873980528,12.0,33.5,24.0,24.5,9.0,46.625
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct,11.48,13.38,13.48,12.25,1.13,0.97,0.96,1.45,14.0,-33.5,10611,0.92,4,Moderate,11.48,4.274668427692507,2.561382272611157,24.0,15.0,22.5,14.0,40.0,46.125
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Direct,13.95,12.14,13.66,10.71,1.43,0.87,0.87,1.54,14.0,-17.4,15866,0.75,4,Moderate,13.949999999999996,3.8931348042208214,2.5938978646211197,29.0,29.0,15.0,8.0,16.0,45.625
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct,10.14,11.77,12.31,9.97,1.8,1.04,0.91,1.24,13.0,-26.75,20284,0.89,5,Moderate,10.139999999999993,3.7787456033243183,2.3490192540589483,32.0,22.5,7.0,13.0,33.0,45.3125
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular,14.12,17.16,19.0,16.14,1.02,0.98,0.9,1.5,19.0,-26.99,37835,1.61,4,High,14.12,5.420835620372078,3.540293633542868,9.0,24.5,25.0,38.0,34.0,42.6875
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Regular,14.88,15.18,18.94,13.76,1.42,1.0,0.8,1.18,19.0,-32.38,28996,1.38,5,High,14.880000000000004,4.823588886244479,3.529850489136588,15.0,38.5,16.0,17.0,38.0,40.8125
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular,20.2,20.08,20.61,19.39,0.69,0.98,0.8,1.23,25.0,-17.01,35124,1.52,4,Very High,20.199999999999996,6.289466307377922,3.8189574770222112,6.0,38.5,36.0,26.5,14.0,40.0
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct,15.25,11.3,14.23,9.52,1.78,0.87,0.81,1.29,14.0,-24.43,1231,0.66,3,Moderate,15.250000000000007,3.633075807165076,2.6965928613052803,34.0,35.5,9.0,4.0,29.0,39.0625
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct,19.98,15.29,15.85,14.39,0.9,1.04,0.8,1.38,19.0,-32.22,18792,0.78,4,High,19.979999999999997,4.856948051746834,2.9862412248937487,14.0,38.5,28.0,10.0,37.0,38.4375
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Regular,21.3,20.15,21.88,19.35,0.8,1.03,0.81,1.14,25.0,-30.87,43630,1.53,4,Very High,21.300000000000008,6.310115922511317,4.03668107638655,5.0,35.5,34.0,28.5,36.0,37.375
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Regular,14.37,12.25,13.42,10.98,1.27,0.93,0.87,1.34,14.0,-17.86,35585,1.59,3,Moderate,14.369999999999994,3.927093873671783,2.550534572931906,28.0,29.0,19.0,35.0,18.0,33.75
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Regular,13.76,12.1,11.31,11.17,0.93,0.9,0.93,1.29,13.0,-24.42,7350,1.57,4,Moderate,13.759999999999994,3.880780545848306,2.166104995042195,30.0,19.5,27.0,34.0,28.0,32.0625
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular,12.42,12.36,14.45,11.49,0.87,0.89,0.88,1.29,14.0,-21.7,14288,1.54,4,Moderate,12.420000000000009,3.961030764779805,2.7361198948821386,26.0,26.5,32.0,30.5,21.5,31.125
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Regular,11.82,11.84,14.14,10.43,1.41,0.91,0.85,1.25,14.0,-27.54,25803,1.64,4,Moderate,11.820000000000007,3.8004061448091875,2.6804051564927045,31.0,31.0,17.0,39.5,35.0,25.3125
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Regular,15.63,11.54,11.46,10.88,0.66,0.96,0.82,1.12,14.0,-25.91,36022,1.42,4,Moderate,15.629999999999988,3.7075115129918013,2.1936257240948276,33.0,33.5,37.0,20.0,31.0,20.5625
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,11.16,13.58,14.26,13.04,0.54,0.98,0.8,1.03,17.0,-22.62,2989,1.6,5,High,11.159999999999993,4.335945205283598,2.7019864955253325,23.0,38.5,39.0,36.5,26.0,19.0
